timestamp,cpu_percent,memory_mb
0.0018565654754638672,0.0,1385.16015625
1.002220869064331,15.2,1575.50390625
2.0059847831726074,16.7,1630.81640625
3.0063486099243164,20.3,2150.26171875
4.006927251815796,39.0,2263.63671875
5.010765552520752,54.6,2079.8671875
6.014638423919678,54.2,2079.86328125
7.015183925628662,59.2,2117.65234375
8.01560378074646,60.5,2160.625
9.015990734100342,57.0,2148.3671875
10.01642894744873,54.3,2148.5859375
11.017112731933594,61.1,2203.8984375
12.017431020736694,61.9,2258.6875
13.017802238464355,57.9,2240.71875
14.018257856369019,58.3,2241.1484375
15.018967151641846,57.4,2241.3671875
16.019624710083008,57.2,2241.83984375
17.021830320358276,58.1,2242.5234375
18.022315502166748,65.2,2332.65234375
19.022836923599243,59.2,2351.046875
20.023235082626343,58.3,2351.5390625
21.024307012557983,58.8,2352.03125
22.024733066558838,56.9,2352.71484375
23.025415420532227,61.6,2351.7578125
24.026124715805054,61.9,2339.18359375
25.02690362930298,60.7,2357.1875
26.027355670928955,60.3,2334.7734375
27.027769088745117,60.8,2356.50390625
28.028133392333984,57.9,2357.9453125
29.028520345687866,60.1,2340.8203125
30.028929948806763,61.4,2314.98828125
31.029354572296143,61.5,2349.18359375
32.02979803085327,61.8,2328.38671875
33.03017497062683,61.2,2357.73046875
34.030585050582886,60.1,2335.95703125
35.030991077423096,61.9,2358.48046875
36.03136396408081,59.8,2360.25
37.031760454177856,60.9,2334.515625
38.03218960762024,60.2,2359.75
39.033469438552856,57.6,2360.4765625
40.03383255004883,56.9,2361.27734375
41.03427267074585,57.4,2318.97265625
42.03481149673462,62.4,2358.37109375
43.03522729873657,61.4,2335.60546875
44.03559064865112,59.3,2356.97265625
45.03591871261597,57.8,2356.97265625
46.03627300262451,59.0,2358.3125
47.036577224731445,62.3,2340.94140625
48.03877377510071,60.8,2362.43359375
49.03917670249939,63.7,2361.171875
50.03958034515381,58.6,2331.13671875
51.039888858795166,62.8,2368.890625
52.04027056694031,59.7,2379.9375
53.04088592529297,61.0,2362.6171875
54.04140329360962,57.0,2387.08203125
55.04712438583374,59.1,2388.0625
56.04755783081055,60.0,2366.515625
57.04834699630737,61.0,2387.76953125
58.048792362213135,61.0,2388.5625
59.0491578578949,58.9,2351.24609375
60.04958891868591,61.2,2388.796875
61.049965620040894,63.8,2369.375
62.05038857460022,64.4,2397.328125
63.05144453048706,61.8,2381.3515625
64.05178451538086,61.3,2406.88671875
65.05215716362,60.9,2394.21875
66.05258798599243,61.4,2420.5078125
67.05482316017151,62.1,2403.234375
68.05522131919861,59.6,2423.140625
69.05566906929016,59.7,2423.34375
70.05605697631836,61.1,2401.25
71.06152820587158,60.5,2422.71875
72.06195497512817,60.1,2621.6953125
73.06230688095093,64.2,2428.44921875
74.06265902519226,60.5,2396.5625
75.06305289268494,61.6,2425.20703125
76.0634126663208,63.7,2417.5625
77.0639853477478,60.3,2395.84375
78.06439852714539,62.7,2435.7890625
79.06496238708496,62.1,2411.94140625
80.06695294380188,62.0,2436.69921875
81.06730580329895,60.0,2416.58203125
82.06770873069763,62.5,2387.92578125
83.06806635856628,61.1,2383.83203125
84.06844735145569,59.8,2347.04296875
85.06881093978882,62.8,2389.74609375
86.06918954849243,63.4,2383.43359375
87.07030510902405,62.3,2360.25390625
88.07068228721619,63.4,2405.515625
89.07113814353943,60.8,2385.09375
90.07159900665283,62.5,2417.75390625
91.07200288772583,61.8,2371.75
92.07245564460754,61.4,2393.31640625
93.0728554725647,61.6,2393.19921875
94.07524013519287,58.0,2394.14453125
95.07556414604187,61.2,2372.2109375
96.077073097229,61.3,2397.41015625
97.07979798316956,59.8,2398.1484375
98.08016872406006,61.9,2381.6875
99.08054089546204,58.6,2391.83203125
100.080979347229,58.4,2392.6015625
101.08134746551514,59.7,2358.609375
102.08385705947876,61.2,2391.890625
103.08578157424927,62.6,2390.640625
104.08616471290588,58.9,2394.6796875
105.0865113735199,57.9,2394.92578125
106.08689832687378,59.2,2404.78125
107.08733129501343,60.8,2379.08984375
108.08766984939575,60.5,2397.48046875
109.09080743789673,62.1,2398.39453125
110.09128665924072,59.4,2368.4765625
111.09296154975891,60.8,2396.8359375
112.09334588050842,58.0,2399.7734375
113.09380221366882,60.7,2376.26953125
114.09413480758667,61.4,2401.54296875
115.09456753730774,58.8,2402.890625
116.09513282775879,61.8,2379.0546875
117.09551358222961,61.8,2363.68359375
118.09626317024231,63.0,2398.03125
119.09664273262024,59.4,2357.9921875
120.09697675704956,61.3,2390.546875
121.09736275672913,61.3,2372.0
122.09771347045898,62.1,2400.7109375
123.09869647026062,59.9,2375.5234375
124.09907341003418,60.9,2397.87109375
125.09945821762085,62.2,2396.88671875
126.09984612464905,59.6,2397.1328125
127.1009578704834,56.8,2398.125
128.1013422012329,57.7,2360.05078125
129.10182285308838,61.3,2398.66796875
130.1022412776947,58.8,2401.13671875
131.10285592079163,61.3,2375.875
132.10334610939026,61.2,2400.7890625
133.1039354801178,59.0,2359.71484375
134.10431933403015,59.9,2356.4375
135.1046757698059,59.6,2357.11328125
136.10500860214233,57.8,2354.12890625
137.10766077041626,59.7,2354.2890625
138.1080813407898,58.5,2355.2734375
