timestamp,cpu_percent,memory_mb
0.0019960403442382812,0.0,1373.453125
1.002392053604126,16.3,1565.015625
2.0027968883514404,16.8,1695.41015625
3.00321888923645,20.6,2182.43359375
4.0037665367126465,42.0,2248.15234375
5.004208087921143,57.1,2076.6015625
6.004574298858643,56.3,2077.05078125
7.005127906799316,61.8,2115.46875
8.0055832862854,62.9,2149.6015625
9.0063955783844,59.8,2133.94140625
10.006842136383057,57.1,2134.16015625
11.007390975952148,64.6,2169.76953125
12.007925510406494,66.3,2264.9296875
13.008413791656494,58.9,2239.0234375
14.008740425109863,58.9,2239.98046875
15.00917935371399,58.3,2240.2265625
16.012381315231323,59.8,2240.21484375
17.01304340362549,59.9,2240.69140625
18.01348638534546,67.4,2331.02734375
19.01404047012329,61.6,2348.21875
20.014365434646606,59.1,2348.68359375
21.014745235443115,60.2,2348.671875
22.015119314193726,60.3,2349.41015625
23.01567006111145,64.8,2348.83203125
24.01611018180847,63.6,2326.9765625
25.01654553413391,64.1,2352.13671875
26.016926527023315,62.8,2327.82421875
27.017365217208862,63.8,2355.07421875
28.020589113235474,65.1,2353.40625
29.02095341682434,60.9,2354.5234375
30.021342515945435,60.9,2355.20703125
31.02182364463806,60.7,2356.46484375
32.0223548412323,61.1,2317.890625
33.02271795272827,64.1,2357.5
34.0231409072876,61.5,2358.609375
35.02367925643921,61.2,2337.40625
36.02416753768921,63.4,2362.6484375
37.02461552619934,60.2,2363.59375
38.025033950805664,60.7,2333.0234375
39.02536582946777,63.2,2361.53515625
40.0263295173645,61.0,2362.98828125
41.02673554420471,63.7,2344.2578125
42.02708339691162,62.7,2364.81640625
43.02754878997803,60.1,2365.58984375
44.02853989601135,61.1,2330.99609375
45.028969049453735,64.6,2360.24609375
46.0315363407135,60.8,2361.6875
47.03196692466736,63.7,2350.1328125
48.03232264518738,62.3,2364.78125
49.03273344039917,61.9,2330.0625
50.033106565475464,64.5,2366.23828125
51.037747383117676,65.6,2353.88671875
52.038180112838745,62.0,2364.43359375
53.03860425949097,61.9,2343.78515625
54.03907513618469,63.6,2365.9609375
55.03965377807617,61.0,2365.9609375
56.040035247802734,64.2,2351.16796875
57.0404794216156,63.4,2328.8515625
58.040891885757446,63.6,2361.57421875
59.0413715839386,63.7,2340.69921875
60.04180884361267,65.3,2366.19921875
61.04217267036438,60.8,2367.16015625
62.042577505111694,62.4,2338.69921875
63.04295039176941,64.2,2368.80859375
64.04340958595276,64.6,2365.7578125
65.04400110244751,63.2,2330.1328125
66.04442739486694,65.4,2367.43359375
67.04486846923828,62.4,2368.4296875
68.0453143119812,60.7,2345.3203125
69.0457649230957,63.9,2369.04296875
70.04613971710205,64.1,2344.04296875
71.0466456413269,63.9,2367.38671875
72.0473861694336,64.3,2368.62890625
73.04781317710876,60.9,2369.4375
74.04814291000366,64.9,2348.6796875
75.0485680103302,64.8,2375.3359375
76.049081325531,65.5,2374.2109375
77.04969763755798,61.3,2375.44140625
78.05006384849548,61.8,2375.93359375
79.0506420135498,56.9,2377.171875
80.05103540420532,62.9,2346.5546875
81.05184006690979,64.9,2374.9609375
82.0524570941925,60.9,2376.421875
83.05284976959229,63.1,2355.88671875
84.05326199531555,63.7,2389.65625
85.05368208885193,63.0,2342.91796875
86.05412364006042,64.1,2380.08984375
87.0546863079071,62.9,2355.41015625
88.05503177642822,63.3,2381.484375
89.05546641349792,64.2,2357.5078125
90.05601644515991,63.5,2382.75
91.05654239654541,64.8,2380.19921875
92.05697584152222,61.3,2340.24609375
93.05744242668152,62.9,2378.38671875
94.05785655975342,63.5,2357.8671875
95.05886507034302,63.2,2380.0546875
96.05956935882568,63.2,2366.0859375
97.05997633934021,63.1,2342.21875
98.06042098999023,64.0,2380.02734375
99.06082892417908,62.4,2349.5234375
100.06140065193176,63.1,2377.01171875
101.06185674667358,64.2,2366.58984375
102.06244778633118,61.6,2337.88671875
103.06306576728821,64.4,2378.4765625
104.06344771385193,63.0,2354.9765625
105.06384444236755,62.7,2379.2734375
106.06435012817383,62.0,2354.59765625
107.06466364860535,63.2,2377.203125
108.0651581287384,64.3,2375.78125
109.06568551063538,62.1,2337.765625
110.06610083580017,63.6,2373.140625
111.06693863868713,61.0,2376.11328125
112.0674216747284,60.2,2376.359375
113.06963109970093,64.5,2372.015625
114.07045769691467,60.9,2373.5546875
115.07096219062805,62.0,2374.1484375
116.0714499950409,63.4,2352.54296875
117.07192420959473,63.5,2373.27734375
118.07233119010925,63.4,2375.26953125
119.07280468940735,58.2,2344.0234375
120.07333564758301,63.9,2374.34765625
121.07393741607666,60.5,2374.984375
122.07483577728271,63.8,2361.0390625
123.07536172866821,62.4,2334.0625
124.07580995559692,63.7,2370.8671875
125.0762984752655,62.8,2349.54296875
126.07670187950134,62.8,2373.98046875
127.07714748382568,59.6,2335.625
128.077534198761,63.9,2375.68359375
129.08039212226868,61.6,2376.5703125
130.08086943626404,60.3,2377.24609375
131.0814106464386,64.5,2371.8828125
132.08183360099792,61.1,2335.1796875
133.0822093486786,63.4,2374.16796875
134.08256483078003,64.4,2347.55859375
135.08299922943115,62.9,2373.33984375
136.0852928161621,63.0,2353.7265625
137.085932970047,62.8,2375.60546875
138.08632349967957,64.2,2375.79296875
139.0867350101471,62.2,2341.58203125
140.0895550251007,65.7,2376.625
141.08992910385132,61.9,2344.71875
142.09032201766968,64.4,2374.3359375
143.09066581726074,61.7,2351.71484375
144.09104561805725,63.8,2376.71484375
145.09143781661987,65.7,2376.79296875
146.09545278549194,63.0,2339.921875
147.09696531295776,64.4,2374.58203125
148.097421169281,61.2,2376.8046875
149.09779834747314,64.2,2367.10546875
150.098206281662,61.6,2336.98046875
151.09867811203003,63.8,2374.59375
152.09911704063416,63.4,2350.6328125
153.09961986541748,64.9,2376.57421875
154.10003018379211,64.2,2350.71875
155.10334396362305,64.3,2376.26171875
156.10369849205017,65.6,2373.2734375
157.1042287349701,63.4,2375.63671875
158.10470366477966,63.9,2356.1328125
159.10559391975403,64.6,2379.97265625
160.10598802566528,64.9,2372.80078125
161.1063904762268,64.9,2409.0078125
162.10871410369873,70.9,2410.22265625
163.10936188697815,65.3,2412.36328125
164.10977506637573,61.7,2384.73046875
165.11024141311646,64.9,2411.03515625
166.11062359809875,62.0,2414.61328125
167.1118552684784,63.8,2388.0703125
168.11226797103882,64.3,2411.6484375
169.1126708984375,61.0,2412.40234375
170.11318469047546,64.1,2391.3046875
171.11359095573425,62.5,2417.5859375
172.11392521858215,63.5,2414.25
173.11511754989624,59.6,2416.11328125
174.1154441833496,58.9,2416.33203125
175.1157886981964,58.8,2417.32421875
176.11624765396118,59.6,2375.94140625
177.11679339408875,61.9,2412.8828125
178.11718845367432,58.5,2414.19921875
179.11763954162598,59.8,2393.14453125
180.11819887161255,59.6,2411.5390625
181.1186192035675,60.6,2412.515625
182.1189386844635,61.0,2393.9921875
183.12065386772156,61.5,2379.84765625
184.12102580070496,61.6,2415.04296875
185.12184691429138,60.7,2389.01953125
186.1222906112671,62.7,2414.70703125
187.12268590927124,63.0,2411.6328125
188.12305426597595,59.6,2411.80078125
189.12382102012634,59.5,2413.40234375
190.1241855621338,58.5,2414.23828125
191.12459516525269,61.5,2399.453125
192.12497091293335,60.8,2414.9765625
193.12536025047302,60.5,2415.44921875
194.12569761276245,61.7,2412.859375
195.12614226341248,60.0,2390.86328125
196.12649846076965,62.6,2415.8828125
197.1268720626831,63.5,2412.33203125
198.12723183631897,61.4,2375.0703125
199.12762928009033,63.1,2415.375
200.12879991531372,60.5,2417.80078125
201.12914323806763,62.4,2419.09765625
202.12954425811768,59.3,2389.5625
203.1299228668213,62.4,2415.3125
204.13038778305054,60.3,2416.578125
205.1307017803192,60.4,2386.66796875
206.1310420036316,62.5,2415.88671875
207.13143014907837,60.1,2424.44921875
208.13178372383118,61.6,2401.24609375
209.1321873664856,63.5,2426.61328125
210.13262295722961,61.2,2402.65234375
211.13305139541626,63.8,2424.7890625
212.13342690467834,59.6,2386.61328125
213.13421821594238,58.9,2384.4609375
214.13470435142517,59.4,2384.34765625
215.13524556159973,57.9,2384.734375
216.13559937477112,58.3,2384.7578125
217.13599467277527,60.0,2385.28515625
