x,y,yaw,speed
0.0,0.0,0.0,0.3
0.5,0.0,0.0,0.3
1.0,0.0,0.0,0.3
1.5,0.0,1.5708,0.3
1.5,0.5,1.5708,0.3
1.5,1.0,3.1416,0.3
1.0,1.0,3.1416,0.3
0.5,1.0,3.1416,0.3
0.0,1.0,-1.5708,0.3
0.0,0.5,-1.5708,0.3
0.0,0.0,0.0,0.3
